case,batch_id,timestamp,t_pct,phase,temp_C,pressure_bar,pH,agitator_rpm,feed_A_Lph,feed_B_Lph
B,B_B001,2026-01-15T06:00:00,0.0,Charge,20.968462202563646,1.0181975533652425,5.586644446141854,149.9555220178012,19.525707684193446,15.617015773328085
B,B_B001,2026-01-15T06:07:45.662297,0.7194244604316546,Charge,23.644505869788457,1.0130307832714103,5.645775180100187,150.34840977412247,19.37934548351687,14.748936930233185
B,B_B001,2026-01-15T06:15:31.324593,1.4388489208633093,Charge,21.694115776664788,1.0212760250627735,5.6967420072417365,146.83998976280273,19.651496862319128,14.914619213182094
B,B_B001,2026-01-15T06:23:16.986890,2.158273381294964,Charge,23.12064490041204,1.0165765775277444,5.649203908659978,146.8644954833511,21.324542751223824,15.530387924296534
B,B_B001,2026-01-15T06:31:02.649187,2.8776978417266186,Charge,22.648421450558228,1.0129997978069916,5.6094840853429355,155.11054438534205,19.075334530285886,14.652689351511325
B,B_B001,2026-01-15T06:38:48.311484,3.597122302158273,Charge,22.452201555445292,1.0327780497684003,5.6573894813068835,144.79412900326918,19.88943325321681,16.068025910657568
B,B_B001,2026-01-15T06:46:33.973780,4.316546762589928,Charge,23.635104488725794,1.0253192342134323,5.629194880907908,151.75117098025692,19.40636100224667,14.65071587571747
B,B_B001,2026-01-15T06:54:19.636077,5.0359712230215825,Charge,24.18935798242659,1.0335147607276094,5.681955621218169,147.0772935380905,19.87001106010382,15.912016805027271
B,B_B001,2026-01-15T07:02:05.298374,5.755395683453237,Charge,24.365521695517785,1.050027349096677,5.6402475327374875,153.5208966522738,20.647724090951634,15.616605512606604
B,B_B001,2026-01-15T07:09:50.960671,6.474820143884892,Charge,24.71435132542981,1.0778723401067756,5.657239943567889,144.2358519286959,20.246980249695582,15.338758477054833
B,B_B001,2026-01-15T07:17:36.622967,7.194244604316546,Charge,25.02087486601364,1.055573108398872,5.60323495612519,146.09124432711445,20.206377211443968,15.231939133135073
B,B_B001,2026-01-15T07:25:22.285264,7.913669064748201,Charge,22.321723598369235,1.0547953185994365,5.651607197585565,148.53242343571895,19.8707150484627,15.538598056213495
B,B_B001,2026-01-15T07:33:07.947561,8.633093525179856,Charge,25.25997027780367,1.0778867033904793,5.599003996986593,153.15783921491365,19.95180046634171,15.02154672830348
B,B_B001,2026-01-15T07:40:53.609858,9.35251798561151,Charge,23.829541426488394,1.0590699440675295,5.662741898493445,146.55341421936808,20.416587243518975,14.58700451176413
B,B_B001,2026-01-15T07:48:39.272154,10.071942446043165,HeatUp,25.112421240977373,1.0768400167741532,5.650204712416081,151.85298389532466,20.298349178188833,14.015828820475024
B,B_B001,2026-01-15T07:56:24.934451,10.79136690647482,HeatUp,24.667765091010963,1.102369646536827,5.733378230697005,156.1578620979526,20.693841227051205,14.68515624621166
B,B_B001,2026-01-15T08:04:10.596748,11.510791366906474,HeatUp,24.779512532801917,1.0856440557205733,5.712293968063982,154.00156008497825,20.29604832567854,15.472937179373439
B,B_B001,2026-01-15T08:11:56.259045,12.230215827338128,HeatUp,25.88911076923515,1.1016454974159509,5.683281701164714,154.35733775581804,19.809185079091833,14.703317744477474
B,B_B001,2026-01-15T08:19:41.921341,12.949640287769784,HeatUp,25.708393730045437,1.0840297685258393,5.700884364433982,159.2732911349993,21.02522301544334,13.789123659444002
B,B_B001,2026-01-15T08:27:27.583638,13.66906474820144,HeatUp,25.28953395342622,1.084504176237873,5.749955028208834,154.99309348236517,18.523523221268682,14.79333721363186
B,B_B001,2026-01-15T08:35:13.245935,14.388489208633093,HeatUp,27.276270305980056,1.0962292217283036,5.657010466963504,156.83000186223907,20.246187992943764,15.446080805287513
B,B_B001,2026-01-15T08:42:58.908231,15.107913669064747,HeatUp,26.64221138836324,1.0956724638754654,5.733639062872178,156.2472751236302,21.718418903831992,14.232779254499128
B,B_B001,2026-01-15T08:50:44.570528,15.827338129496402,HeatUp,26.98013280597978,1.099943213273613,5.705679333395506,169.28606321264118,20.45889527801493,15.170688276351623
B,B_B001,2026-01-15T08:58:30.232825,16.546762589928058,HeatUp,28.305273339245492,1.0929138325685261,5.786186291780098,166.8157543721342,20.955747431012433,14.713728874031588
